Month,Direction of flight,Overseas port,Value,Value Unit,Value Label,Null Reason,Metadata 1
1997-10,Total,Hong Kong,73,number,Number of flights,
1997-10,Total,Honolulu,104,number,Number of flights,
1997-10,Total,Osaka,49,number,Number of flights,
1997-10,Total,Kuala Lumpur,39,number,Number of flights,
1997-10,Total,Los Angeles,289,number,Number of flights,
1997-10,Total,London,45,number,Number of flights,
1997-10,Total,Melbourne,309,number,Number of flights,
1997-10,Total,Nadi,219,number,Number of flights,
1997-10,Total,Nagoya,31,number,Number of flights,
1997-10,Total,Noumea,29,number,Number of flights,
1997-10,Total,Tokyo,66,number,Number of flights,
1997-10,Total,Coolangatta,17,number,Number of flights,
1997-10,Total,Perth,23,number,Number of flights,
1997-10,Total,Papeete,37,number,Number of flights,
1997-10,Total,Rarotonga,32,number,Number of flights,
1997-10,Total,Santiago,0,number,Number of flights,
1997-10,Total,Seoul,129,number,Number of flights,
1997-10,Total,San Francisco,0,number,Number of flights,
1997-10,Total,Shanghai,0,number,Number of flights,
1997-10,Total,Singapore,144,number,Number of flights,
1997-10,Total,Sydney,788,number,Number of flights,
1997-10,Total,Tonga,47,number,Number of flights,
1997-10,Total,Taipei,57,number,Number of flights,
1997-10,Total,Port Vila,14,number,Number of flights,
1997-10,Total,Vancouver,41,number,Number of flights,
1997-10,Total,Total,2771,number,Number of flights,
1997-11,Arrivals,Adelaide,0,number,Number of flights,
1997-11,Arrivals,Apia,31,number,Number of flights,
1997-11,Arrivals,Beijing,0,number,Number of flights,
1997-11,Arrivals,Bangkok,15,number,Number of flights,
1997-11,Arrivals,Brisbane,192,number,Number of flights,
1997-11,Arrivals,Bandar Seri Begawan,0,number,Number of flights,
1997-11,Arrivals,Guangzhou,0,number,Number of flights,
1997-11,Arrivals,Cairns,15,number,Number of flights,
1997-11,Arrivals,Denpasar,12,number,Number of flights,
1997-11,Arrivals,Dubai,0,number,Number of flights,
1997-11,Arrivals,Buenos Aires,13,number,Number of flights,
1997-11,Arrivals,Hong Kong,38,number,Number of flights,
1997-11,Arrivals,Honolulu,48,number,Number of flights,
1997-11,Arrivals,Osaka,29,number,Number of flights,
1997-11,Arrivals,Kuala Lumpur,12,number,Number of flights,
1997-11,Arrivals,Los Angeles,142,number,Number of flights,
1997-11,Arrivals,London,26,number,Number of flights,
1997-11,Arrivals,Melbourne,162,number,Number of flights,
1997-11,Arrivals,Nadi,108,number,Number of flights,
1997-11,Arrivals,Nagoya,13,number,Number of flights,
1997-11,Arrivals,Noumea,14,number,Number of flights,
1997-11,Arrivals,Tokyo,20,number,Number of flights,
1997-11,Arrivals,Coolangatta,9,number,Number of flights,
1997-11,Arrivals,Perth,9,number,Number of flights,
1997-11,Arrivals,Papeete,17,number,Number of flights,
1997-11,Arrivals,Rarotonga,14,number,Number of flights,
1997-11,Arrivals,Santiago,0,number,Number of flights,
1997-11,Arrivals,Seoul,60,number,Number of flights,
1997-11,Arrivals,San Francisco,0,number,Number of flights,
1997-11,Arrivals,Shanghai,0,number,Number of flights,
1997-11,Arrivals,Singapore,63,number,Number of flights,
1997-11,Arrivals,Sydney,409,number,Number of flights,
1997-11,Arrivals,Tonga,21,number,Number of flights,
1997-11,Arrivals,Taipei,31,number,Number of flights,
1997-11,Arrivals,Port Vila,5,number,Number of flights,
1997-11,Arrivals,Vancouver,8,number,Number of flights,
1997-11,Arrivals,Total,1386,number,Number of flights,
1997-11,Departures,Adelaide,0,number,Number of flights,
1997-11,Departures,Apia,31,number,Number of flights,
1997-11,Departures,Beijing,0,number,Number of flights,
1997-11,Departures,Bangkok,16,number,Number of flights,
1997-11,Departures,Brisbane,206,number,Number of flights,
1997-11,Departures,Bandar Seri Begawan,0,number,Number of flights,
1997-11,Departures,Guangzhou,0,number,Number of flights,
1997-11,Departures,Cairns,14,number,Number of flights,
1997-11,Departures,Denpasar,12,number,Number of flights,
1997-11,Departures,Dubai,0,number,Number of flights,
1997-11,Departures,Buenos Aires,13,number,Number of flights,
1997-11,Departures,Hong Kong,38,number,Number of flights,
1997-11,Departures,Honolulu,47,number,Number of flights,
1997-11,Departures,Osaka,28,number,Number of flights,
1997-11,Departures,Kuala Lumpur,12,number,Number of flights,
1997-11,Departures,Los Angeles,137,number,Number of flights,
1997-11,Departures,London,26,number,Number of flights,
1997-11,Departures,Melbourne,167,number,Number of flights,
1997-11,Departures,Nadi,112,number,Number of flights,
1997-11,Departures,Nagoya,19,number,Number of flights,
1997-11,Departures,Noumea,14,number,Number of flights,
1997-11,Departures,Tokyo,30,number,Number of flights,
1997-11,Departures,Coolangatta,9,number,Number of flights,
1997-11,Departures,Perth,9,number,Number of flights,
1997-11,Departures,Papeete,19,number,Number of flights,
1997-11,Departures,Rarotonga,17,number,Number of flights,
1997-11,Departures,Santiago,0,number,Number of flights,
1997-11,Departures,Seoul,61,number,Number of flights,
1997-11,Departures,San Francisco,0,number,Number of flights,
1997-11,Departures,Shanghai,0,number,Number of flights,
1997-11,Departures,Singapore,65,number,Number of flights,
1997-11,Departures,Sydney,404,number,Number of flights,
1997-11,Departures,Tonga,20,number,Number of flights,
1997-11,Departures,Taipei,32,number,Number of flights,
1997-11,Departures,Port Vila,5,number,Number of flights,
1997-11,Departures,Vancouver,9,number,Number of flights,
1997-11,Departures,Total,1413,number,Number of flights,
1997-11,Total,Adelaide,0,number,Number of flights,
1997-11,Total,Apia,62,number,Number of flights,
1997-11,Total,Beijing,0,number,Number of flights,
1997-11,Total,Bangkok,31,number,Number of flights,
1997-11,Total,Brisbane,398,number,Number of flights,
1997-11,Total,Bandar Seri Begawan,0,number,Number of flights,
1997-11,Total,Guangzhou,0,number,Number of flights,
1997-11,Total,Cairns,29,number,Number of flights,
1997-11,Total,Denpasar,24,number,Number of flights,
1997-11,Total,Dubai,0,number,Number of flights,
1997-11,Total,Buenos Aires,26,number,Number of flights,
1997-11,Total,Hong Kong,76,number,Number of flights,
1997-11,Total,Honolulu,95,number,Number of flights,
1997-11,Total,Osaka,57,number,Number of flights,
1997-11,Total,Kuala Lumpur,24,number,Number of flights,
1997-11,Total,Los Angeles,279,number,Number of flights,
1997-11,Total,London,52,number,Number of flights,
1997-11,Total,Melbourne,329,number,Number of flights,
1997-11,Total,Nadi,220,number,Number of flights,
1997-11,Total,Nagoya,32,number,Number of flights,
1997-11,Total,Noumea,28,number,Number of flights,
1997-11,Total,Tokyo,50,number,Number of flights,
1997-11,Total,Coolangatta,18,number,Number of flights,
1997-11,Total,Perth,18,number,Number of flights,
1997-11,Total,Papeete,36,number,Number of flights,
1997-11,Total,Rarotonga,31,number,Number of flights,
1997-11,Total,Santiago,0,number,Number of flights,
1997-11,Total,Seoul,121,number,Number of flights,
1997-11,Total,San Francisco,0,number,Number of flights,
1997-11,Total,Shanghai,0,number,Number of flights,
1997-11,Total,Singapore,128,number,Number of flights,
1997-11,Total,Sydney,813,number,Number of flights,
1997-11,Total,Tonga,41,number,Number of flights,
1997-11,Total,Taipei,63,number,Number of flights,
1997-11,Total,Port Vila,10,number,Number of flights,
1997-11,Total,Vancouver,17,number,Number of flights,
1997-11,Total,Total,2799,number,Number of flights,
1997-12,Arrivals,Adelaide,0,number,Number of flights,
1997-12,Arrivals,Apia,52,number,Number of flights,
1997-12,Arrivals,Beijing,0,number,Number of flights,
1997-12,Arrivals,Bangkok,13,number,Number of flights,
1997-12,Arrivals,Brisbane,207,number,Number of flights,
1997-12,Arrivals,Bandar Seri Begawan,0,number,Number of flights,
1997-12,Arrivals,Guangzhou,0,number,Number of flights,
1997-12,Arrivals,Cairns,14,number,Number of flights,
1997-12,Arrivals,Denpasar,14,number,Number of flights,
1997-12,Arrivals,Dubai,0,number,Number of flights,
